Time,DistanceMeters,Cadence,SpeedKPH,Watts,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,HeartRate
2019-08-25T15:34:56.000Z,2.430000066757202,32,2.4260001182556152,60,48.747761473059654,-122.48125134967268,13.199999809265137,119
2019-08-25T15:34:57.000Z,5.059999942779541,45,2.63100004196167,37,48.747743954882026,-122.48127331025898,13.399999618530273,120
2019-08-25T15:34:58.000Z,7.860000133514404,56,2.7990000247955322,0,48.7477245926857,-122.48129451647401,13.199999809265137,120
2019-08-25T15:34:59.000Z,10.729999542236328,44,2.874000072479248,0,48.74770472757518,-122.4813140463084,13.0,120
2019-08-25T15:35:00.000Z,13.600000381469727,42,2.874000072479248,1,48.7476815097034,-122.48134078457952,13.0,120
2019-08-25T15:35:01.000Z,16.479999542236328,42,2.874000072479248,1,48.74766550026834,-122.48136148788035,13.0,120
2019-08-25T15:35:02.000Z,19.479999542236328,42,3.003999948501587,1,48.7476450484246,-122.48139132745564,12.800000190734863,119
2019-08-25T15:35:03.000Z,22.639999389648438,43,3.1540000438690186,0,48.747624764218926,-122.48142200522125,12.800000190734863,119
2019-08-25T15:35:04.000Z,25.8700008392334,44,3.23799991607666,0,48.74760154634714,-122.48145259916782,12.800000190734863,119
2019-08-25T15:35:05.000Z,29.219999313354492,46,3.3499999046325684,0,48.74757522717118,-122.48148939572275,12.800000190734863,119
2019-08-25T15:35:06.000Z,32.63999938964844,48,3.4149999618530273,0,48.74755636788905,-122.48151822946966,12.600000381469727,119
2019-08-25T15:35:07.000Z,36.029998779296875,61,3.38700008392334,0,48.747534742578864,-122.48155133798718,12.600000381469727,120
2019-08-25T15:35:08.000Z,39.310001373291016,51,3.2839999198913574,0,48.747511357069016,-122.4815831054002,12.600000381469727,120
2019-08-25T15:35:09.000Z,42.09000015258789,44,2.7809998989105225,0,48.747511357069016,-122.4815831054002,12.399999618530273,119
2019-08-25T15:35:10.000Z,44.869998931884766,35,2.7809998989105225,0,48.74747506342828,-122.48164010234177,12.600000381469727,120
2019-08-25T15:35:11.000Z,47.369998931884766,45,2.500999927520752,0,48.74746223911643,-122.48166239820421,12.600000381469727,119
2019-08-25T15:35:12.000Z,50.130001068115234,40,2.76200008392334,1,48.747449750080705,-122.48169517144561,12.600000381469727,119
2019-08-25T15:35:13.000Z,52.36000061035156,36,2.2300000190734863,1,48.74744798988104,-122.48172693885863,12.600000381469727,119
2019-08-25T15:35:14.000Z,54.95000076293945,35,2.5850000381469727,1,48.74744798988104,-122.48172693885863,12.399999618530273,119
2019-08-25T15:35:15.000Z,57.91999816894531,37,2.9670000076293945,0,48.747472800314426,-122.48179282061756,12.399999618530273,119
2019-08-25T15:35:16.000Z,61.56999969482422,47,3.6480000019073486,0,48.74749559909105,-122.48182928189635,12.199999809265137,118
2019-08-25T15:35:17.000Z,66.1500015258789,38,4.591000080108643,0,48.74753264710307,-122.4818804115057,12.399999618530273,118
2019-08-25T15:35:18.000Z,71.20999908447266,50,5.057000160217285,0,48.74755762517452,-122.48191913589835,12.199999809265137,119
2019-08-25T15:35:19.000Z,75.83000183105469,33,4.61899995803833,0,48.74755762517452,-122.48191913589835,12.199999809265137,119
2019-08-25T15:35:20.000Z,79.88999938964844,31,4.059000015258789,0,48.74762107618153,-122.48201561160386,12.0,120
2019-08-25T15:35:21.000Z,84.16999816894531,70,4.2829999923706055,0,48.74764974229038,-122.48205550946295,11.800000190734863,120
2019-08-25T15:35:22.000Z,89.27999877929688,77,5.11299991607666,1,48.7476865388453,-122.48209306038916,11.199999809265137,120
2019-08-25T15:35:23.000Z,94.93000030517578,80,5.644999980926514,2,48.747726352885365,-122.48211041092873,11.199999809265137,120
2019-08-25T15:35:24.000Z,100.6500015258789,81,5.71999979019165,2,48.747788378968835,-122.48210588470101,11.0,120
2019-08-25T15:35:25.000Z,106.08999633789062,78,5.440000057220459,0,48.74782266095281,-122.4820752069354,10.800000190734863,120
2019-08-25T15:35:26.000Z,111.18000030517578,67,5.085000038146973,0,48.747867587953806,-122.48201971873641,10.199999809265137,120
2019-08-25T15:35:27.000Z,116.02999877929688,52,4.8520002365112305,7,48.74789306893945,-122.48198183253407,10.0,119
2019-08-25T15:35:28.000Z,120.56999969482422,52,4.544000148773193,7,48.74789306893945,-122.48198183253407,9.800000190734863,119
2019-08-25T15:35:29.000Z,124.72000122070312,46,4.1519999504089355,237,48.74795417301357,-122.4818907212466,9.600000381469727,120
2019-08-25T15:35:30.000Z,128.85000610351562,69,4.124000072479248,331,48.747981749475,-122.48185317032039,9.600000381469727,120
2019-08-25T15:35:31.000Z,133.0399932861328,76,4.198999881744385,371,48.74800303950906,-122.48182232491672,9.600000381469727,120
2019-08-25T15:35:32.000Z,137.4600067138672,79,4.413000106811523,426,48.748030196875334,-122.48177940957248,9.399999618530273,120
2019-08-25T15:35:33.000Z,141.9499969482422,84,4.48799991607666,382,48.74806389212608,-122.48172576539218,9.600000381469727,121
2019-08-25T15:35:34.000Z,146.44000244140625,83,4.48799991607666,446,48.7480856012553,-122.48168813064694,9.399999618530273,121
2019-08-25T15:35:35.000Z,151.02000427246094,85,4.591000080108643,310,48.74811946414411,-122.48163281008601,9.600000381469727,122
2019-08-25T15:35:36.000Z,155.5500030517578,85,4.515999794006348,269,48.74814159236848,-122.4815968517214,10.0,122
2019-08-25T15:35:37.000Z,160.05999755859375,85,4.515999794006348,371,48.748169001191854,-122.48155267909169,10.0,122
2019-08-25T15:35:38.000Z,164.52999877929688,96,4.468999862670898,371,48.74820244498551,-122.48150154948235,10.199999809265137,123
